,Zipcode,Square Feet,Bedrooms,Bathrooms,Review Scores Rating,Accommodates,Cleaning Fee,Free Parking,Wireless Internet,Cable TV,Prop_encoded,cancel_encoded,Price
0,78704.0,500.0,1.0,1.0,97.0,2.0,25.0,1.0,1.0,1.0,1.0,2.0,85.0
22,78746.0,2800.0,4.0,2.5,99.0,8.0,300.0,1.0,1.0,1.0,1.0,2.0,499.0
108,78741.0,1600.0,1.0,1.5,100.0,4.0,100.0,1.0,1.0,1.0,1.0,0.0,450.0
109,78722.0,900.0,1.0,1.0,80.0,2.0,50.0,1.0,1.0,0.0,1.0,2.0,150.0
122,78702.0,2700.0,3.0,2.0,97.0,8.0,100.0,0.0,1.0,1.0,1.0,2.0,275.0
154,78704.0,1000.0,2.0,1.0,99.0,4.0,80.0,1.0,1.0,1.0,1.0,0.0,160.0
155,78704.0,1600.0,3.0,2.0,100.0,6.0,90.0,1.0,1.0,0.0,1.0,0.0,520.0
171,78704.0,360.0,2.0,1.0,100.0,4.0,75.0,1.0,1.0,1.0,1.0,2.0,230.0
177,78704.0,2100.0,4.0,2.0,100.0,6.0,50.0,1.0,1.0,0.0,1.0,0.0,400.0
342,78703.0,1700.0,3.0,2.0,100.0,6.0,85.0,1.0,1.0,1.0,1.0,2.0,350.0
499,78704.0,0.0,1.0,1.0,97.0,5.0,35.0,1.0,1.0,0.0,1.0,0.0,108.0
502,78704.0,645.0,1.0,2.0,96.0,2.0,75.0,1.0,1.0,0.0,1.0,2.0,109.0
527,78749.0,1175.0,3.0,2.0,98.0,6.0,150.0,1.0,1.0,1.0,1.0,2.0,55.0
549,78722.0,1300.0,3.0,1.0,100.0,10.0,90.0,1.0,1.0,0.0,1.0,2.0,299.0
562,78702.0,240.0,1.0,1.0,90.0,2.0,5.0,1.0,1.0,1.0,1.0,0.0,55.0
648,78704.0,600.0,1.0,1.0,92.0,2.0,85.0,1.0,1.0,0.0,1.0,2.0,110.0
653,78704.0,950.0,2.0,1.0,100.0,4.0,80.0,1.0,1.0,0.0,1.0,0.0,233.0
668,78704.0,1300.0,3.0,2.0,100.0,6.0,75.0,1.0,1.0,1.0,1.0,2.0,749.0
784,60611.0,900.0,1.0,1.0,91.0,4.0,95.0,0.0,1.0,1.0,1.0,2.0,175.0
813,60647.0,1200.0,1.0,1.0,94.0,4.0,20.0,1.0,1.0,0.0,1.0,0.0,65.0
896,2108.0,580.0,1.0,1.0,90.0,3.0,250.0,0.0,1.0,1.0,1.0,2.0,175.0
924,2131.0,200.0,1.0,1.0,93.0,1.0,50.0,0.0,1.0,1.0,1.0,2.0,75.0
1497,10016.0,1250.0,2.0,1.5,96.0,6.0,120.0,0.0,1.0,1.0,1.0,0.0,389.0
1521,11101.0,96.0,1.0,1.0,97.0,2.0,49.0,1.0,1.0,0.0,1.0,2.0,69.0
1537,10002.0,100.0,1.0,1.0,98.0,2.0,50.0,0.0,1.0,0.0,1.0,2.0,115.0
1682,90277.0,176.0,1.0,1.5,97.0,2.0,25.0,0.0,1.0,1.0,1.0,0.0,85.0
